course_number,description
ENVR 5220.,Ecosystem-Based Management.  (4 Hours)
ENVR 5240.,Sedimentary Basin Analysis.  (4 Hours)
ENVR 5241.,Lab for ENVR 5240.  (1 Hour)
ENVR 5242.,Ancient Marine Life.  (4 Hours)
ENVR 5243.,Lab for ENVR 5242.  (1 Hour)
ENVR 5260.,Geographical Information Systems.  (4 Hours)
ENVR 5350.,Sustainable Energy and Climate Solutions.  (4 Hours)
ENVR 5450.,Applied Social-Ecological Systems Modeling.  (4 Hours)
ENVR 5500.,Advanced Biostatistics.  (4 Hours)
ENVR 5563.,Advanced Spatial Analysis.  (4 Hours)
ENVR 5600.,"Coastal Processes, Adaptation, and Resilience.  (4 Hours)"
ENVR 5670.,Global Biogeochemistry.  (4 Hours)
ENVR 5700.,Streams and Watershed Ecology.  (4 Hours)
ENVR 5750.,Urban Ecology.  (4 Hours)
ENVR 5800.,Climate Adaptation and Nature-Based Solutions.  (4 Hours)
ENVR 5984.,Research.  (1-4 Hours)
ENVR 6000.,Professional Development for Co-op.  (0 Hours)
ENVR 6102.,Environmental Science and Policy Seminar 2.  (4 Hours)
ENVR 6150.,Food Security and Sustainability.  (4 Hours)
ENVR 6200.,Water Resources.  (4 Hours)
ENVR 6500.,Biostatistics.  (4 Hours)
ENVR 6501.,Lab for ENVR 6500.  (1 Hour)
ENVR 6954.,Co-op Work Experience - Half Time.  (0 Hours)
ENVR 6962.,Elective.  (1-4 Hours)
ENVR 6964.,Co-op Work Experience.  (0 Hours)
ESC 1100.,he Geosphere: Physical and Historical Geology.  (3 Hours)
ESC 1150.,he Atmosphere.  (3 Hours)
ESC 1200.,"he Hydrosphere: Oceanography, Ground and Surface Water.  (3 Hours)"
ESC 1990.,lective.  (1-4 Hours)
ESC 2990.,lective.  (1-4 Hours)
ESC 3990.,lective.  (1-4 Hours)
ESC 4955.,roject.  (1-4 Hours)
ESC 6962.,lective.  (1-4 Hours)
EEMB 1101.,Foundations in Ecology and Evolutionary Biology.  (4 Hours)
EEMB 1102.,Lab for EEMB 1101.  (1 Hour)
EEMB 1105.,Foundations in Ecological and Evolutionary Genomics.  (4 Hours)
EEMB 1106.,Lab for EEMB 1105.  (1 Hour)
EEMB 1145.,Beginning Scuba.  (1 Hour)
EEMB 1450.,Introduction to Marine Biology.  (4 Hours)
EEMB 1990.,Elective.  (1-4 Hours)
EEMB 2290.,Ecology and Evolution of Behavior.  (4 Hours)
EEMB 2302.,Ecology.  (4 Hours)
EEMB 2303.,Lab for EEMB 2302.  (1 Hour)
EEMB 2400.,Introduction to Evolution.  (4 Hours)
EEMB 2700.,Marine Biology.  (4 Hours)
EEMB 2701.,Lab for EEMB 2700.  (1 Hour)
EEMB 2990.,Elective.  (1-4 Hours)
EEMB 3001.,Genetics and Evolution in Action.  (4 Hours)
EEMB 3250.,Freshwater Ecology.  (4 Hours)
EEMB 3450.,Physiological Adaptations to the Environment.  (4 Hours)
EEMB 3455.,Ecosystems Ecology.  (4 Hours)
EEMB 3460.,Conservation Biology.  (4 Hours)
EEMB 3465.,Ecological and Conservation Genomics.  (4 Hours)
EEMB 3466.,Disease Ecology.  (4 Hours)
EEMB 3475.,Wildlife Ecology.  (4 Hours)
EEMB 3600.,Animal Behavior.  (4 Hours)
EEMB 3700.,Desert Ecology.  (4 Hours)
EEMB 3990.,Elective.  (1-4 Hours)
EEMB 4000.,Applied Conservation Biology.  (4 Hours)
EEMB 4001.,Landscape and Restoration Ecology.  (4 Hours)
EEMB 4990.,Elective.  (1-4 Hours)
EEMB 4992.,Directed Study.  (1-4 Hours)
EEMB 5130.,Population Dynamics.  (4 Hours)
EEMB 5303.,Marine Biology Careers Seminar.  (1 Hour)
EEMB 5305.,Professional Development for Ocean Sciences.  (2 Hours)
EEMB 5504.,Biology of Corals.  (2 Hours)
EEMB 5505.,Lab for EEMB 5504.  (1 Hour)
EEMB 5506.,Biology and Ecology of Fishes.  (2 Hours)
EEMB 5507.,Lab for EEMB 5506.  (1 Hour)
EEMB 5508.,Marine Birds and Mammals.  (3 Hours)
EEMB 5510.,New England Marine Biomes.  (4 Hours)
EEMB 5512.,Tropical Terrestrial Ecology.  (1 Hour)
EEMB 5516.,Oceanography.  (4 Hours)
EEMB 5517.,Lab for EEMB 5516.  (1 Hour)
EEMB 5518.,Ocean and Coastal Processes.  (2 Hours)
EEMB 5519.,Lab for EEMB 5518.  (1 Hour)
EEMB 5520.,Tropical Marine Ecology.  (2 Hours)
EEMB 5522.,Experimental Design Marine Ecology.  (4 Hours)
EEMB 5525.,Advanced Field Methods in Marine Ecology.  (3 Hours)
EEMB 5528.,Marine Conservation Biology.  (3 Hours)
EEMB 5533.,Marine Invertebrate Zoology and Botany.  (2 Hours)
EEMB 5535.,Lab for EEMB 5533.  (1 Hour)
EEMB 5538.,Conservation and Restoration of Marine Systems.  (3 Hours)
EEMB 5540.,Changing Global Oceans.  (2 Hours)
EEMB 5541.,Lab for EEMB 5540.  (1 Hour)
EEMB 5542.,Marine Spatial Planning.  (4 Hours)
EEMB 5546.,Sustainability of the Land-Sea Interface.  (3 Hours)
EEMB 5589.,Diving Research Methods.  (2 Hours)
EEMB 6465.,Ecological and Conservation Genomics.  (4 Hours)
EEMB 6475.,Advanced Wildlife Ecology.  (4 Hours)
EEMB 7101.,Seminar in Marine Sciences.  (2 Hours)
EEMB 7102.,Seminar in Ecology and Evolutionary Biology.  (2 Hours)
EEMB 7103.,Seminar in Sustainability Sciences.  (2 Hours)
EEMB 7104.,Seminar in Geosciences.  (2 Hours)
EEMB 7674.,Marine Biology Research Project.  (1 Hour)
EEMB 8101.,Readings in Marine Sciences.  (2 Hours)
EEMB 8102.,Readings in Ecology and Evolutionary Biology.  (2 Hours)
EEMB 8103.,Readings in Sustainability Sciences.  (2 Hours)
EEMB 8104.,Readings in Geosciences.  (2 Hours)
EEMB 8982.,Readings.  (1-4 Hours)
EEMB 8984.,Research.  (1-4 Hours)
EEMB 8986.,Research.  (0 Hours)
EEMB 9000.,PhD Candidacy Achieved.  (0 Hours)
EEMB 9990.,Dissertation Term 1.  (0 Hours)
EEMB 9991.,Dissertation Term 2.  (0 Hours)
EEMB 9996.,Dissertation Continuation.  (0 Hours)
ECON 1000.,Economics at Northeastern.  (1 Hour)
ECON 1115.,Principles of Macroeconomics.  (4 Hours)
ECON 1116.,Principles of Microeconomics.  (4 Hours)
ECON 1125.,Recitation for ECON 1115.  (0 Hours)
ECON 1126.,Recitation for ECON 1116.  (0 Hours)
ECON 1230.,Healthcare and Medical Economics.  (4 Hours)
ECON 1240.,Economics of Crime.  (4 Hours)
ECON 1245.,Economics of Inequality.  (4 Hours)
ECON 1260.,Contested Issues in the U.S. Economy.  (4 Hours)
ECON 1281.,Economics of the Creative Industries.  (4 Hours)
ECON 1291.,Development Economics.  (4 Hours)
ECON 1292.,Economic History of the Middle East.  (4 Hours)
ECON 1711.,Economics of Sustainability.  (4 Hours)
ECON 1915.,Introductory Selected Topics in Macroeconomics.  (4 Hours)
ECON 1916.,Introductory Selected Topics in Microeconomics.  (4 Hours)
ECON 1990.,Elective.  (1-4 Hours)
ECON 2315.,Macroeconomic Theory.  (4 Hours)
ECON 2316.,Microeconomic Theory.  (4 Hours)
ECON 2350.,Statistics for Economists.  (4 Hours)
ECON 2560.,Applied Econometrics.  (4 Hours)
ECON 2990.,Elective.  (1-4 Hours)
ECON 3290.,History of the Global Economy.  (4 Hours)
ECON 3404.,International Food Policy.  (4 Hours)
ECON 3405.,A Critique of Capitalism.  (4 Hours)
ECON 3406.,Critical Perspectives on Economics.  (4 Hours)
ECON 3410.,Labor Economics.  (4 Hours)
ECON 3412.,Women’s Labor and the Economy.  (4 Hours)
ECON 3413.,Health Economics and Healthcare Policy.  (4 Hours)
ECON 3414.,Economics of Human Capital.  (4 Hours)
ECON 3416.,Behavioral Economics.  (4 Hours)
ECON 3420.,Urban Economic Issues.  (4 Hours)
ECON 3423.,Environmental Economics.  (4 Hours)
ECON 3424.,Law and Economics.  (4 Hours)
ECON 3425.,Energy Economics.  (4 Hours)
ECON 3440.,Public Finance.  (4 Hours)
ECON 3442.,Money and Banking.  (4 Hours)
ECON 3460.,Managerial Economics.  (4 Hours)
ECON 3462.,"Bubbles, Busts, and Bailouts: Market and Regulatory Failures in the Financial Crisis.  (4 Hours)"
ECON 3470.,American Economic History.  (4 Hours)
ECON 3481.,Economics of Sports.  (4 Hours)
ECON 3490.,Public Choice Economics.  (4 Hours)
ECON 3520.,History of Economic Thought.  (4 Hours)
ECON 3635.,International Economics.  (4 Hours)
ECON 3711.,Economics of Race.  (4 Hours)
ECON 3915.,Intermediate Selected Topics in Macroeconomics.  (4 Hours)
ECON 3916.,Intermediate Selected Topics in Microeconomics.  (4 Hours)
ECON 3990.,Elective.  (1-4 Hours)
ECON 4637.,Monetary and Fiscal Policy.  (4 Hours)
ECON 4640.,Financial Economics.  (4 Hours)
ECON 4650.,Economic Growth and Applications.  (4 Hours)
ECON 4680.,Competition Policy and Regulation.  (4 Hours)
ECON 4681.,Information Economics and Game Theory.  (4 Hours)
ECON 4692.,Senior Economics Seminar.  (4 Hours)
ECON 4915.,Advanced Selected Topics in Macroeconomics.  (4 Hours)
ECON 4916.,Advanced Selected Topics in Microeconomics.  (4 Hours)
ECON 4965.,Undergraduate Teaching Experience.  (4 Hours)
ECON 4970.,Junior/Senior Honors Project 1.  (4 Hours)
ECON 4971.,Junior/Senior Honors Project 2.  (4 Hours)
ECON 4990.,Elective.  (1-4 Hours)
ECON 4991.,Research.  (4 Hours)
ECON 4992.,Directed Study.  (1-4 Hours)
ECON 4994.,Internship.  (4 Hours)
ECON 4996.,Experiential Education Directed Study.  (4 Hours)
ECON 4997.,Senior Economics Thesis.  (4 Hours)
ECON 5105.,Math and Statistics for Economists.  (4 Hours)
ECON 5110.,Microeconomic Theory.  (4 Hours)
ECON 5120.,Macroeconomic Theory.  (4 Hours)
ECON 5140.,Applied Econometrics.  (4 Hours)
ECON 5200.,Topics in Applied Economics.  (4 Hours)
ECON 5291.,Applied Development.  (4 Hours)
ECON 5292.,Gender and Development Economics.  (4 Hours)
ECON 5293.,Agriculture and Development.  (4 Hours)
ECON 6105.,Advanced Mathematics and Statistics for Economists.  (4 Hours)
ECON 6110.,Advanced Microeconomic Theory.  (4 Hours)
ECON 6120.,Advanced Macroeconomic Theory.  (4 Hours)
ECON 6140.,Advanced Applied Econometrics.  (4 Hours)
ECON 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
ECON 6955.,Co-op Work Experience Abroad - Half-Time.  (0 Hours)
ECON 6962.,Elective.  (1-4 Hours)
ECON 6964.,Co-op Work Experience.  (0 Hours)
ECON 6965.,Co-op Work Experience Abroad.  (0 Hours)
ECON 7200.,Topics in Applied Economics.  (4 Hours)
ECON 7240.,Workshop in Applied Econometrics.  (4 Hours)
ECON 7250.,International Economic Development.  (4 Hours)
ECON 7251.,International Finance.  (4 Hours)
ECON 7261.,Urban Economic Development.  (4 Hours)
ECON 7266.,Economics of Government.  (4 Hours)
ECON 7270.,Economics of Law and Regulation.  (4 Hours)
ECON 7710.,Microeconomic Theory 2.  (4 Hours)
ECON 7720.,Macroeconomic Theory 2.  (4 Hours)
ECON 7740.,Applied Econometrics 2.  (4 Hours)
ECON 7763.,Labor Market Analysis.  (4 Hours)
ECON 7764.,Topics in Labor Economics.  (4 Hours)
ECON 7771.,Framework of Industrial Organization.  (4 Hours)
ECON 7772.,Public Policy Toward Business.  (4 Hours)
ECON 7962.,Elective.  (1-4 Hours)
ECON 7976.,Directed Study.  (1-4 Hours)
ECON 7990.,Thesis.  (1-4 Hours)
ECON 8550.,Internship In Economics.  (1-4 Hours)
ECON 8960.,Exam Preparation—Doctoral.  (0 Hours)
ECON 8986.,Research.  (0 Hours)
ECON 9000.,PhD Candidacy Achieved.  (0 Hours)
ECON 9986.,Research.  (0 Hours)
ECON 9990.,Dissertation Term 1.  (0 Hours)
ECON 9991.,Dissertation Term 2.  (0 Hours)
ECON 9996.,Dissertation Continuation.  (0 Hours)
ECN 1100.,rinciples of Microeconomics.  (3 Hours)
ECN 1200.,rinciples of Macroeconomics.  (3 Hours)
ECN 1990.,lective.  (1-4 Hours)
ECN 3990.,lective.  (1-4 Hours)
ECN 4990.,lective.  (1-4 Hours)
ECN 6962.,lective.  (1-4 Hours)
ECNM 1115.,Principles of Macroeconomics.  (4 Hours)
ECNM 1116.,Principles of Microeconomics.  (4 Hours)
EDUC 1111.,Education in the Community.  (4 Hours)
EDUC 1990.,Elective.  (1-4 Hours)
EDUC 2990.,Elective.  (1-4 Hours)
EDUC 3990.,Elective.  (1-4 Hours)
EDUC 4990.,Elective.  (1-4 Hours)
EDUC 5503.,"Culture, Equity, Power, and Influence.  (4 Hours)"
EDUC 5504.,"Child and Adolescent Development, Learning, and Teaching.  (4 Hours)"
EDUC 5570.,"Inclusion, Equity, and Diversity.  (4 Hours)"
EDU 5051.,"ulture, Equity, Power, and Influence.  (3 Hours)"
EDU 5086.,oundations of Literacy Development and Instruction.  (3 Hours)
EDU 5101.,ritical Issues in Education: Past and Present.  (2 Hours)
EDU 5102.,"eflection, Community Engagement, and Agency in Education.  (2 Hours)"
EDU 5104.,"hild & Adolescent Development, Learning, and Teaching.  (3 Hours)"
EDU 5107.,"nclusion, Equity, and Diversity.  (3 Hours)"
EDU 5978.,ndependent Study.  (1-4 Hours)
EDU 6001.,xperiential Learning Theory and Practice.  (4 Hours)
EDU 6002.,ulturally Responsive Experiential Teaching and Learning.  (4 Hours)
EDU 6003.,pplied Research in Experiential Teaching and Learning.  (4 Hours)
EDU 6004.,eading Experiential Teaching and Learning.  (4 Hours)
EDU 6050.,ducation as an Advanced Field of Study.  (5 Hours)
EDU 6051.,ntroduction to Social Justice in Educational Settings.  (4 Hours)
EDU 6064.,urriculum and Assessment.  (4 Hours)
EDU 6086.,oundations of Literacy Development and Instruction.  (4 Hours)
EDU 6101.,ritical Issues in Education: Past and Present.  (2 Hours)
EDU 6102.,"eflection, Community Engagement, and Agency in Education.  (2 Hours)"
EDU 6104.,"hild and Adolescent Development, Learning, and Teaching.  (4 Hours)"
EDU 6107.,"nclusion, Equity, and Diversity.  (4 Hours)"
EDU 6122.,eaching the Language Arts.  (4 Hours)
EDU 6124.,eaching History and the Social Sciences.  (4 Hours)
EDU 6127.,eaching Science.  (4 Hours)
EDU 6129.,eaching Mathematics.  (4 Hours)
EDU 6154.,nquiry in the Sciences and Humanities.  (4 Hours)
EDU 6155.,nquiry in Mathematics.  (4 Hours)
EDU 6162.,"anguage, Culture, and Literacy in Middle and High Schools.  (4 Hours)"
EDU 6182.,ducational Statistics.  (4 Hours)
EDU 6183.,ollaborative Strategies for Effective Classroom Management.  (3 Hours)
EDU 6184.,nterdisciplinary Foundations.  (2 Hours)
EDU 6185.,nglish-Language Learners in the General Education Classroom.  (4 Hours)
EDU 6202.,"aculty, Curriculum, and Academic Community.  (4 Hours)"
EDU 6204.,he Foundations of Higher Education.  (5 Hours)
EDU 6205.,he Demographics of the New College Student.  (4 Hours)
EDU 6216.,he College Student Experience.  (4 Hours)
EDU 6217.,he History of Colleges and Universities.  (4 Hours)
EDU 6218.,oney Matters: Financial Management in Higher Education.  (4 Hours)
EDU 6219.,igher Education Law and Policy.  (4 Hours)
EDU 6222.,ontemporary Issues Capstone.  (4 Hours)
EDU 6223.,hange Agency.  (4 Hours)
EDU 6224.,trategic Leadership in Enrollment Management.  (4 Hours)
EDU 6225.,apstone.  (4 Hours)
EDU 6227.,he New Supervisor.  (2 Hours)
EDU 6228.,upervising Through Change.  (2 Hours)
EDU 6229.,hallenges in Supervision.  (2 Hours)
EDU 6231.,risis Management.  (2 Hours)
EDU 6234.,"rogram Evaluation, Assessment, and Accreditation in Higher Education.  (4 Hours)"
EDU 6300.,ntroduction to Language and Linguistics.  (4 Hours)
EDU 6310.,iteracy Development and the Academic Domains.  (4 Hours)
EDU 6319.,ow People Learn.  (4 Hours)
EDU 6321.,odels for Learning Design.  (4 Hours)
EDU 6323.,igital Learning Tools and Technologies for LXD.  (4 Hours)
EDU 6324.,"ompetencies, Assessment, and Learning Analytics.  (4 Hours)"
EDU 6328.,olicy and Leadership.  (4 Hours)
EDU 6329.,onnecting Theory and Practice.  (4 Hours)
EDU 6330.,igital Media Literacy.  (4 Hours)
EDU 6331.,-Learning Design as a Collaborative Profession.  (4 Hours)
EDU 6332.,pen Learning.  (4 Hours)
EDU 6333.,ocial Media and Beyond.  (4 Hours)
EDU 6334.,oundations of Learning Experience Design.  (4 Hours)
EDU 6335.,dvanced Practices in Learning Experience Design.  (4 Hours)
EDU 6336.,ata Literacy for Data-Driven Decision Making.  (4 Hours)
EDU 6338.,earning Experience Design Studio.  (4 Hours)
EDU 6340.,earning Analytics Concepts and Theories.  (4 Hours)
EDU 6341.,ntroduction to Data Mining in Education.  (4 Hours)
EDU 6343.,redictive Modeling for Learning Analytics.  (4 Hours)
EDU 6410.,nstructional Leadership.  (4 Hours)
EDU 6415.,"aw, Policy, and the Ecosystem of Education.  (4 Hours)"
EDU 6425.,pecial Education: Role of Special Educators in an Inclusive School.  (4 Hours)
EDU 6426.,"evelopmental Language, Literacy, and Writing: Assessment and Instruction.  (4 Hours)"
EDU 6429.,ariations in Child and Adolescent Development.  (4 Hours)
EDU 6438.,eachers as Curriculum Leaders.  (4 Hours)
EDU 6465.,ritical and Creative Thinking.  (4 Hours)
EDU 6513.,heltered English Immersion in the General Classroom.  (4 Hours)
EDU 6516.,heltered English Instruction and Assessment.  (4 Hours)
EDU 6517.,oundations of Teaching English as a Second Language: Research and Practice.  (4 Hours)
EDU 6528.,daptive Learning/Behavior Management Strategies: Consultation and Collaboration.  (4 Hours)
EDU 6534.,"ilingualism, Second Language, and Literacy Development.  (4 Hours)"
EDU 6558.,ssues in Education.  (1-4 Hours)
EDU 6569.,ifferentiated Instruction and Assessment in Mathematics.  (4 Hours)
EDU 6866.,eaching Practicum and Seminar.  (1-8 Hours)
EDU 6874.,"racticum, Portfolio, and Panel Review.  (4 Hours)"
EDU 6962.,lective.  (1-4 Hours)
EDU 6980.,nterdisciplinary Capstone.  (2 Hours)
EDU 6995.,roject.  (1 Hour)
EDU 7204.,lobal and Historical Perspectives on Higher Education.  (3 Hours)
EDU 7207.,oundations of Doctoral Studies.  (3 Hours)
EDU 7213.,ducation Entrepreneurship.  (3 Hours)
EDU 7217.,"ducational Systems: The Dynamics of Policy, Power, and Practice.  (3 Hours)"
EDU 7218.,eadership for Social Justice.  (3 Hours)
EDU 7219.,"oundations of Collaboration, Leadership, and Change.  (3 Hours)"
EDU 7225.,undamentals of Research.  (3 Hours)
EDU 7226.,esearch Design.  (3 Hours)
EDU 7227.,he Power of Experiential Learning.  (3 Hours)
EDU 7228.,"ringing Experiential Learning, Assessment, and Reflection to Life.  (3 Hours)"
EDU 7229.,he Experiential Learning Leader.  (3 Hours)
EDU 7230.,urrent and Emerging Practice in STEM Education.  (3 Hours)
EDU 7234.,hinking and Acting Entrepreneurially.  (3 Hours)
EDU 7235.,eading Entrepreneurial Practices in Organizations.  (3 Hours)
EDU 7242.,ituated Leadership.  (3 Hours)
EDU 7243.,octoral Seminar in Curriculum Leadership.  (3 Hours)
EDU 7244.,urriculum Theory and Practice Over Time: Implications for Educational Leadership.  (3 Hours)
EDU 7245.,rban Education.  (3 Hours)
EDU 7250.,rganizational Systems and Institutional Governance.  (3 Hours)
EDU 7251.,tudent Engagement in Higher Education.  (3 Hours)
EDU 7253.,he Legal Environment of Higher Education.  (3 Hours)
EDU 7256.,inancial Decision Making in Higher Education.  (3 Hours)
EDU 7258.,trategic Management in Higher Education.  (3 Hours)
EDU 7259.,octoral Seminar in Higher Education Administration.  (3 Hours)
EDU 7260.,omparative International/Global Higher Education.  (3 Hours)
EDU 7261.,nternational Student Markets.  (3 Hours)
EDU 7266.,ontemporary Issues in Community Colleges.  (3 Hours)
EDU 7272.,rganizational Culture and Change.  (3 Hours)
EDU 7274.,octoral Seminar in Organizational Leadership and Communication.  (3 Hours)
EDU 7275.,ontemporary Leadership Perspectives.  (3 Hours)
EDU 7276.,"ommunication: Teams, Organizations, and Global Networks.  (3 Hours)"
EDU 7277.,"rganizational Learning, Innovation, and Systems Thinking.  (3 Hours)"
EDU 7280.,undamentals of Research.  (3 Hours)
EDU 7281.,esearch Design.  (3 Hours)
EDU 7282.,uantitative Research.  (3 Hours)
EDU 7283.,ualitative Research.  (3 Hours)
EDU 7294.,dvanced Research Design 1.  (3 Hours)
EDU 7295.,issertation in Practice Seminar.  (3 Hours)
EDU 7296.,dult and Workplace Learning.  (3 Hours)
EDU 7310.,dvanced Research Design 2.  (3 Hours)
EDU 7311.,esigning Educational Systems for Justice and Equity.  (3 Hours)
EDU 7312.,andscape of Educational Leadership.  (3 Hours)
EDU 7313.,eading and Managing Change.  (3 Hours)
EDU 7314.,ollaboration and Networks in Educational Leadership.  (3 Hours)
EDU 7315.,andscape of Teaching and Learning.  (3 Hours)
EDU 7316.,esigning Transformative Curriculum and Professional Development.  (3 Hours)
EDU 7317.,ollaboration and Networks in Teaching and Learning.  (3 Hours)
EDU 7501.,esigning Workplace Learning.  (3 Hours)
EDU 7502.,he Dynamics of Workplace Learning.  (3 Hours)
EDU 7503.,eading the Learning Strategy.  (3 Hours)
EDU 7504.,"iversity, Equity, and Inclusion in Workplace Learning.  (3 Hours)"
EDU 7510.,ata-Driven Decision Making.  (3 Hours)
EDU 7511.,igital Workplace Learning.  (3 Hours)
EDU 7962.,lective.  (1-4 Hours)
EDU 7983.,opics.  (1-4 Hours)
EDU 8750.,"roposal, Action Step, and Evaluation.  (6 Hours)"
EDU 8751.,"roposal, Action Step, and Evaluation Continuation.  (0 Hours)"
EDU 8752.,issertation in Practice Research 1.  (0 Hours)
EDU 8760.,ction Research Results and Dissemination.  (6 Hours)
EDU 8761.,ction Research Results and Dissemination Continuation.  (0 Hours)
EDU 8762.,issertation in Practice Research 2.  (0 Hours)
EDU 8790.,octoral Thesis Seminar.  (6 Hours)
EDU 8791.,octoral Thesis Continuation.  (0 Hours)
EDU 8792.,octoral Thesis Continuation.  (0 Hours)
EDU 8796.,hesis Proposal.  (0 Hours)
EDU 8797.,hesis Data Collection.  (0 Hours)
EDU 8798.,hesis Data Analysis and Presentation.  (0 Hours)
EDU 8799.,hesis Findings and Discussion.  (12 Hours)
EECE 1990.,Elective.  (1-4 Hours)
EECE 2140.,Computing Fundamentals for Engineers.  (4 Hours)
EECE 2150.,Circuits and Signals: Biomedical Applications.  (5 Hours)
EECE 2160.,Embedded Design: Enabling Robotics.  (4 Hours)
EECE 2210.,Electrical Engineering.  (4 Hours)
EECE 2211.,Lab for EECE 2210.  (1 Hour)
EECE 2300.,Computational Methods for Data Analytics.  (4 Hours)
EECE 2322.,Fundamentals of Digital Design and Computer Organization.  (4 Hours)
EECE 2323.,Lab for EECE 2322.  (1 Hour)
EECE 2412.,Fundamentals of Electronics.  (4 Hours)
EECE 2413.,Lab for EECE 2412.  (1 Hour)
EECE 2520.,Fundamentals of Linear Systems.  (4 Hours)
EECE 2530.,Fundamentals of Electromagnetics.  (4 Hours)
EECE 2531.,Lab for EECE 2530.  (1 Hour)
EECE 2540.,Fundamentals of Networks.  (4 Hours)
EECE 2560.,Fundamentals of Engineering Algorithms.  (4 Hours)
EECE 2750.,Enabling Engineering.  (4 Hours)
EECE 2949.,Introductory Directed Research in Electrical and Computer Engineering.  (4 Hours)
EECE 2990.,Elective.  (1-4 Hours)
EECE 3324.,Computer Architecture and Organization.  (4 Hours)
EECE 3392.,Electronic Materials.  (4 Hours)
EECE 3400.,Introduction to Communication Systems.  (4 Hours)
EECE 3410.,Electronic Design.  (4 Hours)
EECE 3468.,Noise and Stochastic Processes.  (4 Hours)
EECE 3990.,Elective.  (1-4 Hours)
EECE 4512.,"Healthcare Technologies: Sensors, Systems, and Analysis.  (4 Hours)"
EECE 4520.,Software Engineering 1.  (4 Hours)
EECE 4534.,Microprocessor-Based Design.  (4 Hours)
EECE 4535.,Lab for EECE 4534.  (1 Hour)
EECE 4574.,Wireless Communication Circuits.  (4 Hours)
EECE 4630.,Robotics.  (4 Hours)
EECE 4632.,Hardware-Software Codesign for FPGA-Based Systems.  (4 Hours)
EECE 4638.,Special Topics in Computer Engineering.  (4 Hours)
EECE 4646.,Optics for Engineers.  (4 Hours)
EECE 4649.,Biomedical Imaging.  (4 Hours)
EECE 4694.,Numerical Methods and Computer Applications.  (4 Hours)
EECE 4790.,Electrical and Computer Engineering Capstone 1.  (4 Hours)
EECE 4791.,Electrical and Computer Engineering Capstone 1.  (1 Hour)
EECE 4792.,Electrical and Computer Engineering Capstone 2.  (4 Hours)
EECE 4990.,Elective.  (1-4 Hours)
EECE 4991.,Research.  (4 Hours)
EECE 4992.,Directed Study.  (1-4 Hours)
EECE 4993.,Independent Study.  (1-4 Hours)
EECE 5115.,Dynamical Systems in Biological Engineering.  (4 Hours)
EECE 5155.,Wireless Sensor Networks and the Internet of Things.  (4 Hours)
EECE 5161.,Thin Film Technologies.  (4 Hours)
EECE 5170.,Introduction to Multiferroics Materials and Systems.  (4 Hours)
EECE 5360.,Combinatorial Optimization.  (4 Hours)
EECE 5550.,Mobile Robotics.  (4 Hours)
EECE 5552.,Assistive Robotics.  (4 Hours)
EECE 5554.,Robotics Sensing and Navigation.  (4 Hours)
EECE 5576.,Wireless Communication Systems.  (4 Hours)
EECE 5580.,Classical Control Systems.  (4 Hours)
EECE 5606.,Micro- and Nanofabrication.  (4 Hours)
EECE 5610.,Digital Control Systems.  (4 Hours)
EECE 5612.,Statistical Inference: An Introduction for Engineers and Data Analysts.  (4 Hours)
EECE 5626.,Image Processing and Pattern Recognition.  (4 Hours)
EECE 5639.,Computer Vision.  (4 Hours)
EECE 5640.,High-Performance Computing.  (4 Hours)
EECE 5641.,Introduction to Software Security.  (4 Hours)
EECE 5642.,Data Visualization.  (4 Hours)
EECE 5643.,Simulation and Performance Evaluation.  (4 Hours)
EECE 5644.,Introduction to Machine Learning and Pattern Recognition.  (4 Hours)
EECE 5645.,Parallel Processing for Data Analytics.  (4 Hours)
EECE 5647.,Nanophotonics.  (4 Hours)
EECE 5649.,Design of Analog Integrated Circuits with Complementary Metal-Oxide-Semiconductor Technology.  (4 Hours)
EECE 5651.,Introduction to Photonic Devices.  (4 Hours)
EECE 5652.,Microwave Circuits and Systems.  (4 Hours)
EECE 5654.,Design and Prototyping of Optical Systems for Engineering Applications.  (4 Hours)
EECE 5665.,Signal Processing for Global Navigation Satellite Systems.  (4 Hours)
EECE 5666.,Digital Signal Processing.  (4 Hours)
EECE 5670.,"Sustainable Energy: Materials, Conversion, Storage, and Usage.  (4 Hours)"
EECE 5680.,Electric Drives.  (4 Hours)
EECE 5681.,Lab for EECE 5680.  (0 Hours)
EECE 5682.,Power Systems Analysis 1.  (4 Hours)
EECE 5684.,Power Electronics.  (4 Hours)
EECE 5685.,Lab for EECE 5684.  (0 Hours)
EECE 5686.,Electrical Machines.  (4 Hours)
EECE 5688.,Analysis of Unbalanced Power Grids.  (4 Hours)
EECE 5692.,Antennas for Wireless Communication and Sensing.  (4 Hours)
EECE 5693.,Electromagnetic Devices for RF and Wireless Communications.  (4 Hours)
EECE 5697.,Acoustics and Sensing.  (4 Hours)
EECE 5698.,Special Topics in Electrical and Computer Engineering.  (4 Hours)
EECE 5699.,Computer Hardware and System Security.  (4 Hours)
EECE 6962.,Elective.  (1-4 Hours)
EECE 7105.,Optics for Engineers.  (4 Hours)
EECE 7150.,Autonomous Field Robotics.  (4 Hours)
EECE 7200.,Linear Systems Analysis.  (4 Hours)
EECE 7201.,Solid State Devices.  (4 Hours)
EECE 7202.,Electromagnetic Theory 1.  (4 Hours)
